gene	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	average
GZF1	12.45471745	4.848891635	9.309863635	5.954585644	4.55055049	5.633441547	9.99109975	2.399710997	6.607993298	7.123014355	5.494408996	6.968465912	30.45639832	8.111259176	3.876021225	3.512014408	10.57173129	7.482479217	9.712367945	6.795876237	7.957726292	7.204482007	5.93735444	4.508670014	8.515565001	5.565593476	5.411304822	6.790730335	10.75209962	11.57925198	5.665188685	7.823506304	4.654399306	5.651678839	4.619480444	4.717927483	7.835512634	13.67819984	4.42283727	5.406724543	6.35463658	7.725001862	7.447941318	13.1866871	6.091169376	6.420997563	12.71362585	4.052849123	6.334334525	8.690577795	3.144438819	15.90030479	7.952491547	7.671097757
KIF27	0.476229541	0.494461713	2.839841577	0.774874228	1.254079249	1.542154988	1.382632073	0.632265393	0.929382822	1.643941976	0.491136621	1.983069782	3.310333722	1.708350725	0.383687258	0.587095154	0.630619023	0.653500787	0.869398652	1.2403617	1.542631054	0.881496536	1.032737172	1.372637798	1.164591844	1.09637633	1.148748106	1.102217559	1.08455723	4.312725208	1.19118675	3.168563066	1.141605313	0.966791342	1.066690299	0.730918019	0.877073175	0.951356521	0.354214685	1.149282496	1.245772125	1.587965628	1.19292793	1.385704007	1.08148844	0.805864319	2.152520796	0.461492302	0.775807058	0.685415533	0.627404501	3.779697615	2.576689829	1.292878633
SMEK2	38.08636681	45.10189537	36.72895965	41.90556136	52.13844242	70.41379955	47.95834844	17.60074036	44.71246765	42.6630137	47.17293064	51.0404069	65.77588987	59.9689386	29.29900674	33.86721074	46.95794877	34.34402476	39.09852199	38.48335037	38.63257339	42.89954543	63.33280654	47.27556349	65.04181233	50.22280671	40.24542189	41.24999766	62.12906269	76.49977081	36.47569861	61.05409159	42.8779578	27.71431788	27.1237195	27.97010841	29.7283645	39.90293409	20.1010604	31.56087648	37.01661523	57.96417331	38.98210951	38.59807391	40.05934384	45.44967469	30.75347618	20.10239264	32.88919361	49.12652121	21.18931733	48.44905571	62.73152549	42.99373184
RAF1	50.56553743	52.91970094	82.89993206	67.88785907	62.3060162	119.5404699	55.13584728	47.29318041	60.53488847	54.02429954	63.67369804	63.99226503	42.666685	85.42758778	35.55698181	33.68255796	55.778366	119.6550903	49.74509381	64.56302228	50.77865853	66.63634335	269.0970395	61.79713794	86.4082039	106.2024289	83.25606268	55.16392085	42.16803613	122.9462183	72.07979743	66.80468577	67.07600261	54.24377618	70.72264313	61.02877234	26.20418551	133.0835882	50.21877801	52.86181114	49.58164002	66.69186871	47.23195345	78.4692547	29.86034807	56.24524805	110.5909376	55.00348954	81.60638858	61.95167481	64.32741417	66.31547495	145.6276187	71.32321662
ATG4D	15.82294448	34.60038055	28.21415283	22.54789874	15.12711853	26.9747149	17.77166244	49.61863179	24.30210261	11.26300028	24.50369383	20.0986192	39.22761815	60.67468142	24.60755427	21.42744525	20.05023165	34.57611575	27.92292898	41.54451381	18.47245051	31.1478348	29.49976138	14.28543205	16.57603269	32.54855183	35.24947197	27.54407814	32.71894322	15.82983076	33.40527994	46.37440015	18.34745762	37.94642776	28.28280227	27.97972576	22.38799436	17.30279011	20.35392646	28.30887903	18.68541935	22.22294537	19.98992523	42.32247448	51.4008946	27.32352428	86.41940809	26.40863896	30.91581085	37.0466182	21.22472302	28.76671401	48.03754538	29.36231551
ZHX3	5.719808403	4.417465125	8.624380819	3.268547332	5.472376329	6.081430594	5.425350117	4.158074333	5.583443438	3.772578503	3.023961285	4.55291367	2.480878328	3.868704049	5.967055192	2.279261042	5.009706134	3.864584426	5.317170324	2.990484471	7.821089509	5.416251928	2.113676397	3.236487264	4.584361106	3.185906033	4.031338831	2.580017807	6.436471443	2.674968519	3.221908258	4.176195649	7.283610876	4.768604021	6.075347236	2.600494414	4.798830675	3.05952581	3.286198693	4.749672995	5.142834357	6.242047489	6.681934695	6.933074573	5.235634539	8.782863605	15.0093496	3.494415821	3.80632982	4.328254391	2.336479681	5.319199116	7.418070215	4.881313571
TRAPPC6B	14.02339415	25.16951459	23.31545186	10.03759451	7.472486907	29.64352119	13.94198248	16.07809227	20.87347084	17.31479464	11.40932599	15.35075905	5.405109022	16.12248306	16.86581202	11.62747301	24.43600179	13.13394945	23.71644001	18.12459795	15.99049612	13.43729303	21.5805569	10.16529425	14.54091554	17.64094632	16.8024582	18.53718809	16.47429813	19.49318769	8.615937447	13.36097117	20.51345004	20.5420322	19.6222246	9.410031393	12.50529557	9.414374156	18.33362526	13.46258721	16.93473452	17.32464879	15.284232	16.81797618	12.92754537	13.60474602	30.37530952	20.32130496	14.9369786	19.78879413	18.41860985	20.70644676	10.93873784	16.46953741
PITPNM2	2.877484685	5.536762905	3.170861699	4.274292632	2.398747993	4.464487808	7.458159627	1.427975031	2.487035806	2.023878445	1.253641041	6.677717128	4.359221979	2.992666055	5.437348668	2.129606542	4.7320427	4.083921158	8.629161664	2.93348054	7.21649891	4.318733408	2.259696982	1.938410308	2.10378909	2.45144279	2.936701367	1.297503162	2.348158964	1.338713052	2.418005414	4.206009208	5.556845932	3.224067723	4.90216044	0.99269472	1.607363371	3.260882891	2.777306704	5.426583962	5.502229637	3.958143854	2.287233207	6.280840837	4.546849566	4.522425821	31.99323573	0.594542228	6.183472376	1.14583888	1.323721618	2.394362751	5.319114	4.112869302
SNAPC3	33.83714125	8.059705354	20.11380276	16.25830359	14.15452601	14.874122	19.26444979	16.82272198	13.9890853	19.94963472	12.42852321	16.50559721	14.93347432	13.85398308	18.09894686	14.6212782	8.813660107	11.83327627	13.36401834	11.3268347	21.24022411	10.87889877	16.61307045	5.906540012	13.07800559	20.86387556	12.99724663	12.84183439	19.11175588	49.24276514	22.5477265	23.20680522	16.34671573	9.137939158	15.65528015	6.680985321	15.17779831	29.42285298	8.906435459	12.68617847	15.21526261	21.13258547	13.36130942	51.21811299	19.89572038	17.67329201	42.74795449	12.14083626	13.61627736	24.90371946	14.14492391	18.51767922	18.08242838	17.70370039
PALM2	0.21112856	0.214618276	3.117878073	0.398143511	0.4022912	0.748822001	0.438185436	0.432065744	0.328011717	0.479769864	0.338706682	0.249363408	0.702230191	0.522709242	0.240495073	0.401051566	0.449677231	0.246387417	2.081602173	0.391511867	1.450421245	0.301714149	0.447412456	0.641429658	0.801022603	0.187693102	0.543818574	0.275986406	0.542198349	0.41816078	0.277077915	0.25621014	0.987409614	0.475892726	0.436988109	0.312718625	0.865450835	4.470248638	0.2187708	0.818905366	0.683730048	0.38311234	0.623805879	0.58072999	0.199187832	0.62657029	1.674156125	0.23752968	0.299218806	0.318470602	0.358353192	0.601927847	0.492588561	0.645350198
