gene	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	average
TIPRL	34.4844283	14.39725525	18.21189711	33.0610206	35.58866166	33.95342987	21.72252278	31.19729473	39.61156268	31.20400486	23.75082257	28.83480913
CCDC50	39.55394705	6.917131809	7.366106484	43.23150925	47.33056873	45.20304871	6.955173949	22.76526675	38.37776726	30.49251838	15.08983853	27.57117063
RSF1	23.38769466	6.257312049	5.946137773	23.20166885	20.59190593	17.94067519	5.735270132	15.69576552	20.76534747	17.56899636	15.20945855	15.6636575
LPL	21.53974254	0.412510384	1.309176544	17.02171453	16.55704238	22.91040852	0.368549757	2.761503531	5.426989351	11.01897741	1.312070354	9.148971392
PPM1A	24.57342878	6.521278744	7.635442675	21.93410568	23.77937183	16.10316489	9.371662655	16.18676761	20.28067612	19.4979998	11.2679426	16.10471285
RUNDC2A	7.260459347	1.650188337	2.204768038	5.243325718	5.522573241	5.848014789	2.031167261	3.079648405	4.607738529	4.248348196	1.992580391	3.971710205
SDC2	135.1254657	19.45941404	11.67028324	128.539397	139.7103609	214.4322959	15.76108867	107.5467801	157.8375667	154.8487755	24.22596601	100.8324903
SBNO1	24.74346699	2.320084226	10.64204551	23.21495883	19.35700009	22.90319465	8.600651831	20.02301515	22.11365351	12.70131491	11.8987027	16.22891713
NDUFA6	104.8929801	82.89900651	61.49142174	90.82842244	102.5955048	85.83361424	89.2051139	88.72687474	99.38161791	93.17705268	69.5580568	88.05360599
CHUK	13.96696722	5.892554643	11.47320898	17.34242863	12.48256561	16.72014493	7.539879223	13.65144519	14.12028665	10.86247975	6.606349	11.87802817
RNF180	31.92978459	4.148752922	1.740532218	26.34684403	27.43642428	30.6595653	5.119988509	13.9695022	27.8085122	21.79316652	6.036719039	17.90816289
AKT3	150.5544075	8.88975093	10.23625269	138.7533895	153.9405722	152.3825099	12.62164034	52.94966167	178.7538063	79.51982977	14.89951313	86.68193945
NOL4	1.55072089	0.145749779	0.028760417	2.235874598	1.551111424	1.536935985	0.239432067	0.322895248	1.768070643	1.412219334	0.40618948	1.017996351
DDX24	157.7404309	112.9395781	79.69284864	147.470994	158.3932474	124.4524623	48.810589	93.5025423	113.2438341	167.9547455	63.08240069	115.2076066
EML5	2.261898642	0.568567433	0.496373015	2.629273475	2.850719409	2.778913048	0.679287602	1.108588616	2.315752528	1.980707309	1.17326816	1.713031749
KCNA6	0.403829446	0.062443742	0.074356037	0.224040855	0.265183632	0.381176835	0.040957591	0.099553854	0.235453016	0.431378598	0.135671053	0.21400406
ZFPM2	23.64179667	0.44426134	1.134999328	21.31096426	23.11892514	21.57592255	1.597504258	10.03774237	24.68512834	19.36842627	2.142540187	13.55074643
C14orf45	9.102978605	1.858347343	1.96485424	8.594656624	9.380485479	6.924190152	2.18223045	4.687848551	7.89686199	5.204222549	2.98082424	5.525227293
AKD1	8.738886051	3.838022685	3.52137583	8.183851822	8.796502035	8.801038804	4.763910856	6.72157054	7.335833011	7.349389555	7.19595769	6.840576262
ME2	39.55268855	12.15799298	8.681096816	40.87776776	39.9628026	38.86449589	13.43332501	27.77677986	36.11743713	29.71185694	22.97918873	28.19231202
TMEFF1	6.685344187	2.272410893	1.088684833	6.57266905	7.093053379	7.168975557	2.210345635	5.303712531	7.068283544	3.385364367	2.872606844	4.701950075
KATNAL1	16.22446642	1.140606844	1.713392931	17.47691906	19.32209588	12.2487552	2.016785253	6.116843682	23.80707514	9.311984597	2.587742908	10.17878799
ESYT2	110.4807193	28.3765448	51.18106462	109.8132802	116.1537592	110.4947288	39.02887114	77.23916175	104.4366731	95.18230038	43.06553345	80.49569423
PHIP	14.94042017	5.091579733	4.252998978	14.12997878	12.85210774	13.48018245	6.935708084	13.45371639	14.13875647	15.68783798	8.253964563	11.2015683
VPS13B	33.11943248	8.756537262	11.43846714	38.65177016	33.72808392	39.55152462	9.158924241	33.90376654	34.61056287	33.56560831	28.28404661	27.70624765
TMEM51	9.885920634	120.0833213	33.40040236	9.951290295	14.65365388	8.640714847	13.62800438	54.30394488	14.8365162	20.98834182	50.77582716	31.92253979
HINT3	52.49190927	20.52801354	13.7530441	49.74923881	54.77724779	49.04447138	16.79526018	37.22069688	47.94327725	35.73233473	21.77843047	36.3467204
PPP2R5C	210.2681303	73.21249163	82.4761099	185.7541963	200.5167817	187.2718368	86.52760936	127.8759124	183.2557077	169.9177993	118.6084653	147.7895491
SPATA21	5.324504259	3.134499777	3.868895875	5.755617218	5.079376913	6.302686975	3.401369318	5.207230497	6.316766552	6.284646576	4.305486693	4.998280059
BACE1	25.85397893	6.084453337	7.889915326	20.54832508	26.26664836	18.49560878	7.351285348	24.52295712	28.90659406	23.29130303	6.446214726	17.78702583
PDHA1	54.57529148	30.35844241	33.06363097	46.98236269	50.32638417	52.26026851	45.89320239	42.12871461	40.3659255	44.01386308	25.75289977	42.33827142
MDM1	33.96380511	1.913747686	2.273141188	18.88617986	22.54671238	24.61782964	4.353489994	7.427137492	15.42826474	16.79397993	6.022324741	14.02060116
RUFY3	18.03123216	6.004145477	9.761393376	15.75370326	17.089683	20.81054929	13.86240823	11.93751137	12.31433154	15.38141404	13.3184027	14.0240704
SPOPL	19.59332231	4.009353397	5.040459019	16.99964363	16.43477779	14.03117664	4.578071744	13.94344401	14.89400271	11.92611715	10.39042706	11.98552686
KLC1	116.715263	81.88560198	70.63204743	107.2436939	134.75229	97.9327564	47.56630205	75.9712985	97.57153567	92.96407638	61.98137188	89.56511248
RRM2B	46.62787663	20.27326402	16.37028291	50.31143965	35.00943478	47.97615054	13.90302734	53.18071125	38.32983466	39.12827282	45.6089692	36.97447853
MLH3	5.863042283	2.487725988	1.348830154	5.418347198	5.283450382	4.447574536	2.077039932	4.067576261	4.585480514	5.7838685	2.886938949	4.022715882
UHRF2	28.33684974	6.297521528	7.982498842	26.08918252	23.9645958	17.77289044	7.976694987	17.13914024	26.68324327	21.74107127	12.22133484	17.83682032
TBC1D19	8.7627751	3.827563619	1.9454258	9.413571099	9.168867491	7.778108341	2.617925958	6.515091965	8.483143384	6.114944958	4.423326435	6.277340377
NAP1L1	235.7064675	123.9475516	99.31253024	192.8761967	207.8963797	231.5389672	104.0713603	184.9801457	173.0076528	192.7887915	111.9271771	168.9139291
TMEM170B	4.692629228	0.516026466	0.398185766	4.413703369	4.029208029	4.001077018	0.628622575	1.982255082	4.474138765	3.160979042	1.506238116	2.709369405
SMPD2	4.803312533	21.55717676	20.70035704	4.083426505	4.97590288	5.354264368	24.76550071	11.85165193	7.720737829	8.671657985	13.49991	11.63489987
PCDH7	35.05854485	3.2273059	6.772131587	40.34537904	41.34945092	51.69933954	11.92376736	31.77302332	50.15889745	32.92021103	7.418113176	28.42237856
DDHD2	28.91048275	10.34830165	6.750319198	32.493384	37.24661282	33.33132695	8.291508433	19.57471814	29.16260199	26.70147436	16.92242427	22.70301405
ZC3H13	43.61826597	10.74240711	13.40691116	48.85387193	46.09163138	34.32539943	11.58626316	35.15405595	43.60073272	35.3961114	33.43003995	32.38233547
DOK6	12.69160334	0.546414048	0.28924276	14.45091036	7.409101457	25.27081253	1.905667392	5.233606089	7.958224943	12.3142106	0.502144316	8.051994349
ASB1	16.13572066	3.057572486	2.737732386	16.11350843	17.14428653	11.90211137	1.753714887	4.782638937	14.74681724	9.568400001	4.399214359	9.303792481
SGCE	76.31462576	21.46772791	9.140036903	64.85707608	68.44738242	87.12229182	9.153842378	80.78607762	87.56749174	71.67487755	33.96634394	55.49979765
MAPK4	17.63456283	0.431423024	0.180758789	16.98117955	11.81949765	11.93769488	1.34386924	2.265632385	21.17108953	11.14831951	0.404596235	8.665329421
CSF1	53.50281763	3.732517572	10.71265503	58.03422531	26.36868109	77.93055685	12.31192936	44.60551224	36.51587776	55.43106135	12.86033435	35.63692441
PCNX	21.02231747	4.819350666	4.517268029	18.21343332	16.6378217	22.31316981	4.073900991	14.54900302	23.08337986	16.26819511	8.509523308	14.00066939
ZNF354C	3.61539782	0.075451428	0.31904207	3.019467906	2.828091528	2.020012757	0.232986224	2.211438894	2.934333205	2.855681447	0.372226439	1.862193611
MAPRE2	99.55553232	8.181281853	10.00692604	90.89943473	92.58774162	68.86003684	10.17395221	40.15032591	48.56794733	56.8380539	25.15810457	50.08903066
ACTR1A	180.1856313	74.57186593	70.49215773	134.9357471	155.1167378	142.8039485	80.24643143	108.210082	136.4511981	137.1835819	48.88498981	115.3711247
SLC2A13	17.32788901	1.718021047	2.457840826	17.12793157	12.52804172	13.44293149	2.970840126	15.63382494	14.91370473	11.36007745	5.511068303	10.45383375
NDUFA4	424.3688862	355.4930534	213.0180839	415.254145	474.3733094	440.5246314	317.160324	408.4176263	471.0977476	402.4267214	280.364086	382.0453286
PCGF6	13.57030826	4.434881155	4.703505147	9.997478191	13.40758059	13.26134403	5.627819535	10.949861	16.70794707	10.95344321	4.262872333	9.807003684
MCPH1	15.0705211	10.39916792	8.31813817	14.53879327	15.98739437	12.89592051	6.61626468	13.88959155	12.69663405	14.94882512	10.34954281	12.33734487
JRK	10.67265646	1.576780015	2.276734023	6.713451618	8.905676706	4.417711115	3.486067761	3.398200384	8.192842009	8.411926603	4.562696803	5.692249409
MSN	458.3850687	85.75401303	207.1246537	540.6647673	544.9552833	747.5891428	164.7847156	466.126106	528.0987308	510.7615844	127.8696765	398.3739766
PHF10	110.1909487	80.58771898	64.74429579	111.9890156	105.92236	125.1803948	47.50886523	93.96099482	122.6454162	87.61613271	53.62042185	91.26968769
ZCCHC14	20.30444655	6.466133339	5.534120686	15.20144878	17.88684861	16.6570218	5.692469427	18.02650607	18.27312837	17.26888114	11.46593837	13.88881301
DNAJC6	1.808308219	0.614525728	0.251718662	1.568475958	1.496782855	1.9345669	0.14577891	0.918871262	1.248329835	1.69889877	0.561823002	1.113461827
CCDC25	28.78299842	16.98585819	14.35181959	27.33689157	33.01208641	24.19381402	16.31654746	23.76781612	25.11441549	23.24452899	16.46532891	22.6883732
FOXA1	0	87.97073708	40.27729939	0.022772975	0.045706299	0.069956796	21.61664398	40.52591449	0.136118837	4.970411836	58.54580974	23.1073974
PLCB4	56.40935241	1.910234201	2.369148456	33.22912828	33.04564096	32.96672595	2.644192749	12.60283292	19.72911633	35.43330423	3.9549674	21.29951308
OSBPL8	21.83265514	5.639283748	9.926546912	21.67485004	19.7018589	18.70677621	10.65962845	23.56556374	20.61251475	20.53734796	15.76484357	17.14744268
ANO5	7.603145777	0.307510698	0.196543009	10.12873233	8.398696953	8.041523304	0.789270567	1.993300582	5.758518766	5.102206005	0.665540324	4.453180756
SIRT1	26.74507385	13.26192577	10.9609181	25.1814631	18.32848992	27.58245144	5.939995049	22.12274286	15.78507017	22.67610299	11.5207397	18.19136118
KLHDC5	68.77716569	3.682156273	3.668013893	50.56689705	74.55274475	39.05444775	7.091052128	18.89180476	67.64618544	31.19225654	6.806103991	33.81171166
SPAG8	2.726858564	0.72852581	0.207485863	1.402629407	2.593945675	1.501913283	0.493523238	0.752371715	1.437224426	2.207784874	0.67343837	1.338700111
SLC25A4	208.6781273	36.19005498	21.2830247	177.7585895	209.407769	177.6296472	44.05329027	42.34845042	172.3490363	118.9022208	33.92114459	112.9564868
WDR17	1.808628631	0.306255405	0.348105714	1.882589219	1.65905854	2.411120535	0.495516862	1.155815114	1.036319012	1.119999977	0.818129276	1.185594389
SGTB	7.922978904	1.332235306	1.761898567	6.843895215	7.5509939	4.431927939	2.005552929	4.841716667	5.860056591	5.453167082	3.171279534	4.652336603
PTP4A1	98.89816887	58.46183569	57.04618302	74.46539351	88.91284103	71.77057777	28.56680929	90.76756469	67.36427486	61.05790618	44.21678093	67.4116669
SPIRE1	24.74249611	4.885149372	2.585541444	24.27467097	23.94106098	21.46332668	2.719792215	12.54794171	16.60986729	18.36419072	4.811921463	14.26781445
FYTTD1	65.74949993	16.99586732	32.73717464	64.48459245	63.80360983	66.70488449	33.30139632	45.84221188	62.37449328	49.05206969	51.15614151	50.20017649
SSBP2	43.84622019	10.78522215	15.20156591	35.47884345	33.80706056	46.77551698	18.81582371	27.87429823	39.01524372	39.61785056	22.30338242	30.32009344
SMAD5	25.20668619	12.71714891	8.411322126	23.89630835	21.2656699	24.01353454	12.30886287	24.36437516	24.79871444	26.43502334	16.75590792	20.01577761
MKX	14.51694355	0.084787516	0.250963426	22.11161009	13.57283367	11.85167147	1.350093179	2.885641886	7.082318211	8.989261575	0.586454286	7.571143532
FAM161B	10.95531637	0.7435437	1.025947349	5.071138434	10.07320981	4.25191582	2.262150613	4.372570293	8.405641991	7.232972237	3.048318215	5.222065894
LRCH2	17.16732527	1.196977858	0.98674179	22.78822583	15.96715567	11.97562849	1.189250567	5.956929681	12.56375395	8.089748095	1.011442793	8.99028909
IGSF21	9.530663826	1.157507586	0.743653616	11.09572196	4.558415178	7.287685358	2.036499225	2.761410112	10.73162614	10.13060403	0.513722844	5.50431908
EML1	66.00011009	1.003648631	4.000669309	58.17937045	80.77391161	53.46040009	5.49502091	20.3485331	68.67741678	32.53814254	3.062937075	35.77637823
CELF1	115.8320206	49.50461401	43.51401441	105.1288778	94.82813524	98.6752562	34.97266672	71.63702842	89.8939724	71.26981468	60.66566659	75.99291519
