mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda
TNS4,hsa-mir-338,-0.409833814,0.002306906,0.049032493,0.783394291,0.00434025,0.09028781,targetprofiler-NO,targetscan-Yes,miRanda-NO
MPZL2,hsa-mir-25,-0.409041475,0.002357042,0.049835654,0.848093379,0.000971134,0.054828674,targetprofiler-NO,targetscan-Yes,miRanda-NO
NDFIP2,hsa-mir-625,-0.406645502,0.002514588,0.052288851,0.954195864,5.16E-06,0.005903759,targetprofiler-NO,targetscan-Yes,miRanda-NO
FAM103A1,hsa-let-7i,-0.406100531,0.0025517,0.052862306,0.866759107,0.000553745,0.045019724,targetprofiler-NO,targetscan-NO,miRanda-Yes
BAIAP2,hsa-mir-484,-0.404016424,0.00269815,0.055095533,0.848425863,0.000962091,0.054658,targetprofiler-Yes,targetscan-NO,miRanda-Yes
TRIM29,hsa-mir-484,-0.403412444,0.002741961,0.05574794,0.873648672,0.000440607,0.041580122,targetprofiler-NO,targetscan-NO,miRanda-Yes
TMC6,hsa-let-7i,-0.402628273,0.002799783,0.056603454,0.798531292,0.003207277,0.081588905,targetprofiler-NO,targetscan-NO,miRanda-Yes
SCAMP2,hsa-mir-106b,-0.398939507,0.003086519,0.060814322,0.886900893,0.000272982,0.034893749,targetprofiler-NO,targetscan-NO,miRanda-Yes
KLF5,hsa-mir-140,-0.396741421,0.003269467,0.06341046,0.941122008,1.57E-05,0.010308517,targetprofiler-NO,targetscan-Yes,miRanda-NO
TMEM9B,hsa-mir-25,-0.396337436,0.003304114,0.063899229,0.876335512,0.000401603,0.040209667,targetprofiler-NO,targetscan-Yes,miRanda-NO
TSPAN1,hsa-mir-25,-0.393608641,0.00354676,0.067279232,0.78079125,0.00456142,0.091800093,targetprofiler-NO,targetscan-NO,miRanda-Yes
FOXA1,hsa-mir-100,-0.392953694,0.003607287,0.068114356,0.795548132,0.003410801,0.083233738,targetprofiler-Yes,targetscan-NO,miRanda-NO
ASL,hsa-mir-106b,-0.388301806,0.004064047,0.074276591,0.962097605,2.23E-06,0.003695708,targetprofiler-NO,targetscan-NO,miRanda-Yes
TACSTD2,hsa-mir-625,-0.385604599,0.004351573,0.078023506,0.881082038,0.000339156,0.037796143,targetprofiler-NO,targetscan-Yes,miRanda-NO
ID1,hsa-mir-100,-0.384944582,0.004424598,0.078960285,0.878241896,0.000375558,0.039208627,targetprofiler-NO,targetscan-NO,miRanda-Yes
TMEM63B,hsa-mir-625,-0.382265415,0.004732205,0.082835316,0.836224714,0.001338017,0.061136698,targetprofiler-Yes,targetscan-Yes,miRanda-Yes
LAMB3,hsa-mir-484,-0.381910815,0.004774293,0.083357565,0.78032218,0.004602143,0.092068125,targetprofiler-Yes,targetscan-NO,miRanda-Yes
KCNN4,hsa-mir-424,-0.381134087,0.004867635,0.084528859,0.792416053,0.003634628,0.085041218,targetprofiler-Yes,targetscan-NO,miRanda-NO
SDC1,hsa-mir-140,-0.378533006,0.00519198,0.088520561,0.902726696,0.000141835,0.027128858,targetprofiler-NO,targetscan-Yes,miRanda-NO
MPZL2,hsa-mir-590,-0.378244432,0.005229106,0.088967972,0.817063572,0.002137769,0.071342227,targetprofiler-NO,targetscan-Yes,miRanda-NO
JUP,hsa-mir-627,-0.377557606,0.005318405,0.090043983,0.77237506,0.005333645,0.096704205,targetprofiler-Yes,targetscan-NO,miRanda-NO
CASP10,hsa-mir-629,-0.377472938,0.005329505,0.090179858,0.781803795,0.004474423,0.091196662,targetprofiler-NO,targetscan-Yes,miRanda-NO
RHOD,hsa-mir-1266,-0.376708333,0.00543067,0.091386445,0.8392586,0.001235738,0.059483449,targetprofiler-Yes,targetscan-Yes,miRanda-NO
ATG4D,hsa-mir-152,-0.375879831,0.005542184,0.092703158,0.795123586,0.003440524,0.083495909,targetprofiler-Yes,targetscan-NO,miRanda-Yes
PRKCZ,hsa-mir-222,-0.372242074,0.006055878,0.098639599,0.821189575,0.001941457,0.069108764,targetprofiler-NO,targetscan-NO,miRanda-Yes
TMEM51,hsa-mir-132,-0.372219337,0.006059215,0.098678344,0.775711148,0.005016872,0.094738618,targetprofiler-Yes,targetscan-Yes,miRanda-Yes
SFT2D1,hsa-mir-382,-0.371997357,0.006091882,0.099051705,0.772868833,0.005285856,0.096424322,targetprofiler-NO,targetscan-NO,miRanda-Yes
SFT2D1,hsa-mir-412,-0.371688382,0.006137607,0.099559267,0.817028966,0.002139476,0.071356555,targetprofiler-NO,targetscan-Yes,miRanda-Yes
ZNF519,hsa-mir-505,0.372256491,0.006053763,0.098617594,-0.800129579,0.003102018,0.080698413,targetprofiler-NO,targetscan-Yes,miRanda-NO
DNAJC25,hsa-mir-186,0.372300814,0.006047264,0.098544039,-0.781262828,0.004520749,0.091510459,targetprofiler-NO,targetscan-Yes,miRanda-NO
EP400NL,hsa-mir-940,0.372314169,0.006045306,0.098524233,-0.854161653,0.000815833,0.051657561,targetprofiler-Yes,targetscan-NO,miRanda-NO
AKD1,hsa-mir-382,0.372527233,0.006014159,0.098165598,-0.842669339,0.001127887,0.057645118,targetprofiler-Yes,targetscan-NO,miRanda-NO
DSEL,hsa-mir-1226,0.372538941,0.006012451,0.098146153,-0.838218447,0.001270118,0.060059606,targetprofiler-NO,targetscan-Yes,miRanda-NO
PHF20,hsa-mir-939,0.372882957,0.005962468,0.097572748,-0.872473643,0.000458538,0.042177579,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZNF660,hsa-mir-136,0.373032861,0.005940802,0.097332301,-0.813553388,0.002316125,0.073319506,targetprofiler-NO,targetscan-Yes,miRanda-NO
MED13L,hsa-mir-1254,0.373034253,0.005940601,0.097330023,-0.858079455,0.000726033,0.049594702,targetprofiler-Yes,targetscan-NO,miRanda-NO
TRAPPC6B,hsa-mir-377,0.373155677,0.005923102,0.097132221,-0.812103553,0.002392938,0.074114812,targetprofiler-Yes,targetscan-Yes,miRanda-NO
SHPRH,hsa-mir-495,0.373170192,0.005921013,0.097109955,-0.795524117,0.003412477,0.083250404,targetprofiler-NO,targetscan-Yes,miRanda-Yes
RERE,hsa-mir-299,0.373233152,0.00591196,0.097005195,-0.826339307,0.001715707,0.066370448,targetprofiler-NO,targetscan-Yes,miRanda-NO
KIAA1462,hsa-mir-95,0.373375183,0.005891583,0.096779267,-0.776656814,0.004929657,0.094198388,targetprofiler-Yes,targetscan-Yes,miRanda-Yes
CPSF7,hsa-mir-940,0.373832225,0.005826425,0.096047891,-0.814889576,0.002246974,0.072545359,targetprofiler-NO,targetscan-Yes,miRanda-NO
DDHD2,hsa-mir-590,0.373845996,0.005824472,0.096027605,-0.771785832,0.005391088,0.097055278,targetprofiler-NO,targetscan-Yes,miRanda-NO
TAOK1,hsa-mir-93,0.374176875,0.005777708,0.09548761,-0.784367804,0.004259605,0.08968568,targetprofiler-Yes,targetscan-Yes,miRanda-NO
HBS1L,hsa-mir-3653,0.374587989,0.005720062,0.094805266,-0.854478163,0.000808283,0.051481821,targetprofiler-NO,targetscan-Yes,miRanda-NO
TRAPPC6B,hsa-mir-495,0.374659412,0.005710099,0.094695882,-0.824053084,0.001813358,0.067608169,targetprofiler-Yes,targetscan-Yes,miRanda-NO
MAPRE1,hsa-mir-629,0.374805859,0.005689717,0.094453408,-0.784435261,0.004254059,0.089648068,targetprofiler-NO,targetscan-Yes,miRanda-NO
FGD6,hsa-mir-21,0.374858849,0.005682358,0.094365622,-0.772572636,0.005314485,0.096598569,targetprofiler-NO,targetscan-Yes,miRanda-NO
UBR7,hsa-mir-1226,0.374930275,0.005672452,0.09425292,-0.81663027,0.002159212,0.071571161,targetprofiler-Yes,targetscan-Yes,miRanda-NO
AKR1D1,hsa-mir-141,0.37511736,0.005646576,0.093947685,-0.782251491,0.00443635,0.090941903,targetprofiler-NO,targetscan-Yes,miRanda-NO
RAF1,hsa-mir-939,0.375663122,0.005571681,0.093056947,-0.863762731,0.000609272,0.046636198,targetprofiler-NO,targetscan-Yes,miRanda-NO
RALGPS1,hsa-mir-1266,0.375756374,0.005558971,0.092905744,-0.7729435,0.005278657,0.096381156,targetprofiler-Yes,targetscan-Yes,miRanda-NO
KATNAL1,hsa-mir-382,0.37594176,0.00553378,0.092605708,-0.775290107,0.005056066,0.094998262,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZNF532,hsa-mir-495,0.376281616,0.005487857,0.092059063,-0.815862046,0.002197623,0.071990426,targetprofiler-NO,targetscan-Yes,miRanda-NO
