#MicroRNA_ID	TCGA.BT.A0S7.01A	TCGA.BT.A0YX.01A	TCGA.BT.A2LA.01A	TCGA.BT.A2LB.01A	TCGA.BT.A20J.01A	TCGA.BT.A20N.01A	TCGA.BT.A20O.01A	TCGA.BT.A20P.01A	TCGA.BT.A20Q.01A	TCGA.BT.A20R.01A	TCGA.BT.A20T.01A	TCGA.BT.A20U.01A	TCGA.BT.A20V.01A	TCGA.BT.A20W.01A	TCGA.BT.A20X.01A	TCGA.C4.A0F0.01A	TCGA.C4.A0F6.01A	TCGA.CF.A1HR.01A	TCGA.CF.A1HS.01A	TCGA.CF.A27C.01A	TCGA.CU.A0YN.01A	TCGA.CU.A0YO.01A	TCGA.CU.A0YR.01A	TCGA.DK.A1A3.01A	TCGA.DK.A1A5.01A	TCGA.DK.A1A6.01A	TCGA.DK.A1A7.01A	TCGA.DK.A1AA.01A	TCGA.DK.A1AB.01A	TCGA.DK.A1AC.01A	TCGA.DK.A1AD.01A	TCGA.DK.A1AE.01A	TCGA.DK.A1AF.01A	TCGA.DK.A1AG.01A	TCGA.DK.A2HX.01A	TCGA.DK.A2I1.01A	TCGA.DK.A2I2.01A	TCGA.DK.A2I6.01A	TCGA.E5.A2PC.01A	TCGA.FD.A3B3.01A	TCGA.FD.A3B4.01A	TCGA.FT.A3EE.01A	TCGA.G2.A2EC.01A	TCGA.G2.A2EF.01A	TCGA.G2.A2EJ.01A	TCGA.G2.A2EK.01A	TCGA.G2.A2EL.01A	TCGA.G2.A2EO.01A	TCGA.G2.A2ES.01A	TCGA.GD.A2C5.01A	TCGA.H4.A2HO.01A	TCGA.H4.A2HQ.01A	TCGA.HQ.A2OE.01A
hsa-miR-320b-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-320b-2	2.833658	1.522802	11.309405	4.439511	3.237771	9.447911	3.380126	6.378027	5.884434	3.260867	6.79285	5.659233	11.623621	5.119062	10.862698	9.044998	11.34864	2.493038	5.566495	8.85462	4.906782	3.001068	10.065551	1.355043	3.161821	5.313522	2.240004	9.296467	4.298771	2.085192	2.030931	2.291175	3.415431	11.324942	2.018126	3.728923	7.889839	4.323172	10.125539	1.680984	4.361076	7.061983	7.423326	6.636003	7.935696	1.652752	5.271006	5.41694	17.818076	2.522419	8.991234	4.838476	14.172704
hsa-miR-320c-1	0.99178	0.3807	2.380927	0.355161	1.618885	1.288352	0.751139	0.327078	1.046122	0.429061	0.849106	0.353702	2.249733	1.023812	1.068462	0.786522	1.821387	0.534222	0.463875	0.221365	0.392543	0.416815	0	0.193578	0.878284	0.408732	0	0.273425	1.194103	1.303245	0.725333	0.254575	0.768472	0.817264	0.695906	0.219348	0.852956	0.411731	1.557775	0.258613	0.348886	0.294249	0.397678	0.2765	0	0.173974	0.479182	0.180565	0.968374	0.070067	1.398636	0.716811	1.312287
hsa-miR-320c-2	0.283366	0.19035	1.785696	0.266371	0	0.429451	0.187785	0.490617	0.130765	0.085812	0.849106	0.353702	1.874778	0.409525	0.178077	0.19663	0.560427	0.178074	0	0.885462	0.196271	0	0	0	0.351313	0.204366	1.120002	0.136713	0	0.260649	0.290133	0.50915	0.170772	0.700512	0.069591	0.219348	0.426478	0	0.778888	0.129306	0	0	0.265119	0.553	0.283418	0.173974	1.437547	0.541694	0.387349	0	0.599416	0	1.837202
hsa-miR-320d-1	1.275146	0	0.396821	0.710322	0	0	0	0.163539	0.130765	0.343249	0.849106	0	2.624689	0.614287	0.712308	1.179782	1.68128	0.356148	0	0	0.196271	0.333452	0.402622	0.387155	0.439142	0	0	0.410138	0.238821	0.781947	0.725333	1.0183	0.426929	1.634528	0.139181	1.096742	0.639717	0	1.298146	0.387919	1.395544	0.882748	0.927916	0.553	0.283418	0	0.479182	0.722259	0.387349	0.49047	0.599416	0.358406	11.023214
hsa-miR-320d-2	0.99178	0.19035	0	1.065483	0.809443	0	0.37557	0.163539	0	0.772311	1.415177	0	3.3746	1.228575	1.424616	1.179782	1.120853	0.712297	0.463875	1.328193	0	0.500178	0.402622	0	0.175657	0.817465	0	0.683564	0.238821	0.260649	0.145067	0.254575	0.512315	1.050768	0.974268	0.329023	0.639717	0.205865	1.038517	0.258613	0.348886	0.882748	1.193035	0.8295	0	0.173974	0.718774	0	1.162048	0.630605	0.799221	0.537608	6.823894
hsa-miR-320e	0	0	0.198411	0	0	0	0.751139	0.163539	0.130765	0.085812	0.566071	0	1.124867	0.614287	0	0	0	0	0	0	0	0	0	0	0	0.613099	0	0	0.597052	0	0	0	0.085386	0.116752	0.069591	0	0	0	0.259629	0	0	0	0.132559	0	0	0	0	0	0.774699	0.070067	0	0.358406	4.724235
hsa-miR-323	12.184729	2.284203	2.182517	2.486126	2.428328	3.435604	1.690063	2.780165	0.523061	3.77574	4.811602	3.183319	1.499822	1.433337	7.12308	2.752825	31.383894	3.917631	5.102621	0	4.121697	4.41824	6.039331	0.387155	2.459194	2.043662	0.746668	0.136713	2.388206	3.127787	1.160532	1.0183	12.722481	0.700512	2.157307	1.096742	2.558867	3.911442	1.557775	1.422371	1.046658	4.11949	4.50702	0.553	2.550759	2.087686	1931.105071	3.250164	2.905121	2.102016	1.798247	0.896014	1.312287
hsa-miR-323b	9.77612	1.142101	0.793642	1.687014	1.618885	1.288352	0.751139	0.981235	0.26153	1.630433	4.811602	1.76851	1.124867	2.45715	3.56154	2.162934	5.324053	1.602667	0	0	3.925426	1.417171	2.01311	0.580733	2.634851	1.839296	1.86667	1.50384	1.432924	3.909734	0.290133	0.763725	4.098517	0.350256	0.904677	0.548371	3.411822	2.264519	0.519258	0.775839	1.046658	4.413739	1.325594	1.382501	1.983924	1.217817	543.392841	4.152987	1.549398	1.191142	0.799221	1.075217	1.574745
hsa-miR-324	67.299375	57.29542	86.903848	26.015536	43.709902	92.761311	31.360054	27.474576	10.984276	44.965634	18.114265	21.222126	28.121664	62.452559	29.20463	61.938571	147.392216	21.368899	37.573843	51.356793	81.060038	25.175629	112.73417	22.455006	30.915583	64.579733	84.000139	38.142856	11.941031	142.053674	27.852773	36.658795	22.627232	22.066125	14.753199	28.624972	52.456768	54.966049	43.877334	11.249663	8.722152	60.321102	52.8912	170.047572	20.122658	22.964551	288.228213	37.015757	42.414768	22.001103	19.980519	67.380264	61.939965
